                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      4.7503999999999998E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      512                  1.0000000000000001E-005                 -4.9999999999999991E+000                  4.7503999999999998E+001                  3.4975408630812154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6078989949710500E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6078989949710500E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898654086671767E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4898654086671767E+001                 -1.4898654086671767E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6411635411972192E+000                  4.6024709720380983E+000                  2.5421672400772364E+000                  1.0302850535106212E+000                  1.2149424636964724E-003                  5.8776675417764794E+000                 -4.7611579975297635E+000                  9.4094798596145246E+000                 -4.7611579975297635E+000                  5.8776675417764794E+000                  6.2033152715887596E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120011E-003                  9.3604466091399777E-003                  3.3252800000000022E+001                  1.3299704493135032E+001                                        0                                        0                                        2 
                                       5                                      512                  7.4416000000000000E-005                 -4.6832750158095005E+000                  4.7503999999999998E+001                  3.4975408630812154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6079060854878571E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6079060854878571E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898653784784580E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4898653784784580E+001                 -1.4898653784784580E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6411638392673944E+000                  4.6024722243729261E+000                  2.5421672701043003E+000                  1.0302849934564942E+000                  1.2094487142439096E-003                  5.8776675623262422E+000                 -4.7611579041273231E+000                  9.4094799634661346E+000                 -4.7611579041273231E+000                  5.8776675623262422E+000                  6.2033152711886019E-001                  8.5000496627254196E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120003E-003                  9.3604466091399760E-003                  3.3252800000000022E+001                  1.3299704493135030E+001                                        0                                        0                                        2 
                                      10                                      512                  2.5958682111999992E-004                 -4.2873687855713767E+000                  4.7503999999999998E+001                  3.4975408630812154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6079267378433406E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6079267378433406E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898652916979565E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4898652916979565E+001                 -1.4898652916979565E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6411646298601990E+000                  4.6024755578467218E+000                  2.5421673556555895E+000                  1.0302848223539154E+000                  1.1953192560001703E-003                  5.8776676206453722E+000                 -4.7611576334691170E+000                  9.4094802619984925E+000                 -4.7611576334691170E+000                  5.8776676206453722E+000                  6.2033152700706107E-001                  8.5000496627254196E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108119998E-003                  9.3604466091399760E-003                  3.3252800000000029E+001                  1.3299704493135030E+001                                        0                                        0                                        2 
                                      15                                      512                  7.2035107872931792E-004                 -3.8914625553332525E+000                  4.7503999999999998E+001                  3.4975408630812154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6079795949439715E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6079795949439715E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898650757623862E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4898650757623862E+001                 -1.4898650757623862E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6411662945376366E+000                  4.6024826340692355E+000                  2.5421675644119714E+000                  1.0302844048411517E+000                  1.1667349940536957E-003                  5.8776677648922941E+000                 -4.7611569574947046E+000                  9.4094810048376463E+000                 -4.7611569574947046E+000                  5.8776677648922941E+000                  6.2033152673259795E-001                  8.5000496627254207E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108119990E-003                  9.3604466091399743E-003                  3.3252800000000029E+001                  1.3299704493135033E+001                                        0                                        0                                        2 
                                      20                                      512                  1.8668799962237360E-003                 -3.4955563250951283E+000                  4.7503999999999998E+001                  3.4975408630812154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6081172726503148E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6081172726503148E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898645384594289E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4898645384594289E+001                 -1.4898645384594289E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6411694005084110E+000                  4.6024960578725578E+000                  2.5421680643720839E+000                  1.0302834049209262E+000                  1.1135794893700789E-003                  5.8776681230457202E+000                 -4.7611552732665618E+000                  9.4094828532255566E+000                 -4.7611552732665618E+000                  5.8776681230457202E+000                  6.2033152605298703E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108119998E-003                  9.3604466091399760E-003                  3.3252800000000022E+001                  1.3299704493135030E+001                                        0                                        0                                        2 
                                      25                                      512                  4.7198108322034464E-003                 -3.0996500948570045E+000                  4.7503999999999998E+001                  3.4975408630812154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6084698910465047E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6084698910465047E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898632015483519E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4898632015483519E+001                 -1.4898632015483519E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6411743915876911E+000                  4.6025183371435352E+000                  2.5421692218490115E+000                  1.0302810899670716E+000                  1.0201704233591185E-003                  5.8776690130034064E+000                 -4.7611510790519072E+000                  9.4094874524352239E+000                 -4.7611510790519072E+000                  5.8776690130034064E+000                  6.2033152436725270E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108119985E-003                  9.3604466091399743E-003                  3.3252800000000022E+001                  1.3299704493135032E+001                                        0                                        0                                        2 
                                      30                                      512                  1.1818815689988476E-002                 -2.7037438646188803E+000                  4.7503999999999998E+001                  3.4975408630812154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6092800680081301E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6092800680081301E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898598751501435E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4898598751501435E+001                 -1.4898598751501435E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6411811685398536E+000                  4.6025504980563658E+000                  2.5421717484011022E+000                  1.0302760368628896E+000                  8.7271353863828578E-004                  5.8776712259894115E+000                 -4.7611406391132913E+000                  9.4094988960946804E+000                 -4.7611406391132913E+000                  5.8776712259894115E+000                  6.2033152017945359E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399760E-003                  3.4416106108120003E-003                  9.3604466091399777E-003                  3.3252800000000022E+001                  1.3299704493135032E+001                                        0                                        0                                        2 
                                      35                                      512                  2.9483411457712123E-002                 -2.3078376343807565E+000                  4.7503999999999998E+001                  3.4975408630812154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6110371633437617E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6110371633437617E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898515990577589E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4898515990577589E+001                 -1.4898515990577589E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6411890339008512E+000                  4.6025921483556704E+000                  2.5421768428287588E+000                  1.0302658480075764E+000                  6.8749347100777278E-004                  5.8776767263034264E+000                 -4.7611146469484567E+000                  9.4095273689949703E+000                 -4.7611146469484567E+000                  5.8776767263034264E+000                  6.2033150978876628E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108119994E-003                  9.3604466091399777E-003                  3.3252800000000022E+001                  1.3299704493135032E+001                                        0                                        0                                        2 
                                      40                                      512                  7.3438578398454205E-002                 -1.9119314041426323E+000                  4.7503999999999998E+001                  3.4975408630812154E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6158837830306307E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999046072750941E-001                  5.6158837830306307E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898310097167927E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4898310097167927E+001                 -1.4898310097167927E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6411972611641330E+000                  4.6026441067190902E+000                  2.5421863674839065E+000                  1.0302467986972810E+000                  5.0468618949723665E-004                  5.8776903798240356E+000                 -4.7610498910384420E+000                  9.4095982081650753E+000                 -4.7610498910384420E+000                  5.8776903798240356E+000                  6.2033148409525407E-001                  8.5000496627254196E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108119994E-003                  9.3604466091399777E-003                  3.3252800000000022E+001                  1.3299704493135032E+001                                        0                                        0                                        2 
