                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.2000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_v_rot                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1153                  2.0046884346862029E+002                  2.3020468848809381E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.5189103506954087E+000                  3.7468219359806582E-001                  7.8125640905853918E-008                  9.9999999998686839E-001                  9.9999988781049509E-001                  7.4645153199630554E-001                  7.8125640905853918E-008                  9.9999999998686839E-001                  9.9999988781049509E-001                  4.7069336911003870E+000                 -3.0642139212771273E+001                 -9.8999999999999986E+001                  4.7069336911003870E+000                  3.0846911490954718E+000                  4.6964436734049873E+000                 -3.0642139212771273E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3709782576886320E+033                  9.8948566906412965E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3938503670463538E+000                  3.8862205485495895E+000                  6.7866837663471336E-001                  4.1597338461913234E+000                  1.9433422070232845E-006                  3.6598153700992572E+002                  7.5013114482108882E+000                  8.4482425663888971E-001                  1.6508460010660411E+001                  8.4482425663888971E-001                  7.5013114482108882E+000                  6.2029379535842089E-001                  8.4964456528369869E-001                  1.2977027163283683E+000                  6.9928648881060751E-001                  2.8033656485321945E-001                  1.1867769444049467E-003                  9.3061702469846332E-003                  3.4416106108119964E-003                  9.3604466091399743E-003                  8.3953567579593340E+000                  3.3620262751774090E+000                                        0                                        0                                        5 
                                       5                                     1030                  7.7606945570872711E+002                  2.1618576855409275E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  5.8633260858640863E+000                  4.8842644426662640E-001                  7.8125634293570982E-008                  9.9999997599890267E-001                  9.9999992196535592E-001                  7.8790933652053274E-001                  7.8125634293570982E-008                  9.9999997599890267E-001                  9.9999992196535592E-001                  4.5502128115312699E+000                 -3.1374310032356458E+001                 -9.8999999999999986E+001                  4.5502128115312699E+000                  3.0055863393282451E+000                  4.5376400977067783E+000                 -3.1374310032356458E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9490334188355962E+033                  9.5602561810852383E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3924502672210339E+000                  3.8940455250400818E+000                  6.8538106453059822E-001                  4.1463084703995534E+000                  1.1402352219723995E-007                  3.6009315187967377E+002                  7.4896250043821997E+000                  8.0310308491949478E-001                  1.6455605418200772E+001                  8.0310308491949478E-001                  7.4896250043821997E+000                  6.2025704518836788E-001                  8.4968136548453999E-001                  1.2976004895388933E+000                  6.9935963045685556E-001                  2.8028499669005641E-001                  1.3303058501768015E-003                  9.3139441262870375E-003                  3.4416106108119951E-003                  9.3604466091399760E-003                  8.3950951677782566E+000                  3.3620538988551285E+000                                        0                                        0                                        3 
                                      10                                     1015                  1.7872826274613883E+003                  2.4089537862047377E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  6.0877933079751427E+000                  5.0467159293456110E-001                  7.8125634011849756E-008                  9.9999997453548217E-001                  9.9999991560759782E-001                  7.9863533239183115E-001                  7.8125634011849756E-008                  9.9999997453548217E-001                  9.9999991560759782E-001                  4.3142272015792260E+000                 -3.2091827389436510E+001                 -9.8999999999999986E+001                  4.3142272015792260E+000                  2.7511838109596676E+000                  4.3021838129888224E+000                 -3.2091827389436510E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2413369136367183E+033                  8.9461686294111833E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3852948409665311E+000                  3.8801359032820288E+000                  6.9273710616057815E-001                  4.1315963871395933E+000                  5.8171169825720297E-008                  3.5397606642235337E+002                  7.4781409616055106E+000                  7.6531118558735423E-001                  1.6406589461323499E+001                  7.6531118558735423E-001                  7.4781409616055106E+000                  6.2026070985998816E-001                  8.4967868485983822E-001                  1.2976142290201544E+000                  6.9935459268068445E-001                  2.8027380217035974E-001                  1.2284435799193708E-003                  9.3157494904594074E-003                  3.4416106108119946E-003                  9.3604466091399760E-003                  8.3948131641164476E+000                  3.3620835753425591E+000                                        0                                        0                                        3 
                                      15                                     1005                  3.8063053161220068E+003                  2.7255641205739547E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  5.3960867379178445E+000                  4.4916636755904837E-001                  7.8125633619463649E-008                  9.9999997102327298E-001                  9.9999990873479816E-001                  7.7669831364762454E-001                  7.8125633619463649E-008                  9.9999997102327298E-001                  9.9999990873479816E-001                  4.0702133865745065E+000                 -3.2658358758827738E+001                 -9.8999999999999986E+001                  4.0702133865745056E+000                  2.4521240977509908E+000                  4.0596213301168289E+000                 -3.2658358758827738E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4432112994068456E+033                  8.2112418940264325E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3789535520531198E+000                  3.8712823432805807E+000                  7.0099290398667691E-001                  4.1150847914873960E+000                  3.9139333555859933E-008                  3.4747434642478925E+002                  7.4689952232785952E+000                  7.3889542236102768E-001                  1.6370927872414629E+001                  7.3889542236102768E-001                  7.4689952232785952E+000                  6.2028134049631412E-001                  8.4965965117713704E-001                  1.2976772218636148E+000                  6.9931712500421139E-001                  2.8027643465588592E-001                  1.0084744368680024E-003                  9.3155313615937776E-003                  3.4416106108119951E-003                  9.3604466091399760E-003                  8.3944924791535591E+000                  3.3621188728135780E+000                                        0                                        0                                        4 
                                      20                                      999                  8.0040864456372301E+003                  3.0445500526045239E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.2086665320595351E+000                  3.4977681038092051E-001                  7.8125633199703105E-008                  9.9999996985253659E-001                  9.9999990056566235E-001                  7.3671703682249146E-001                  7.8125633199703105E-008                  9.9999996985253659E-001                  9.9999990056566235E-001                  3.8773972980052536E+000                 -3.2789999946629067E+001                 -1.1564078571839584E+001                  3.8773972980052536E+000                  2.1890629007814053E+000                  3.8684035853059453E+000                 -3.2789999946629067E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8143898152454811E+033                  7.5613014406193362E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3819094907415730E+000                  3.9101203573577119E+000                  7.1450003364833703E-001                  4.0880705321640756E+000                  2.9192642799103297E-008                  3.3767425277545289E+002                  7.4666826134819919E+000                  7.4042441515710133E-001                  1.6369444816179062E+001                  7.4042441515710133E-001                  7.4666826134819919E+000                  6.2031311683179102E-001                  8.4963017052322409E-001                  1.2977732940100282E+000                  6.9925885685856792E-001                  2.8028409232397133E-001                  6.9165607618300350E-004                  9.3146265935281271E-003                  3.4416106108119951E-003                  9.3604466091399708E-003                  8.3940870843063049E+000                  3.3621720966864213E+000                                        0                                        0                                        4 
                                      25                                      999                  1.6448121382496505E+004                  3.3052074445135928E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.3615482937151642E+000                  2.7754602165518105E-001                  7.8125632485618834E-008                  9.9999997365742999E-001                  9.9999990048180809E-001                  7.0571345212276437E-001                  7.8125632485618834E-008                  9.9999997365742999E-001                  9.9999990048180809E-001                  3.7747956748747393E+000                 -3.1828096933938788E+001                 -1.1740169830895265E+001                  3.7747956748747393E+000                  2.0244953939682198E+000                  3.7670086470474575E+000                 -3.1828096933938788E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4575599337815481E+033                  7.1933788863285086E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3990480497360753E+000                  3.9851037595487049E+000                  7.1771461675482784E-001                  4.0816413659510937E+000                 -9.5050849880169359E-009                  3.3779443383303595E+002                  7.4819411408044019E+000                  7.9872782306494527E-001                  1.6442003238768248E+001                  7.9872782306494527E-001                  7.4819411408044019E+000                  6.2036336610853993E-001                  8.4958291045129652E-001                  1.2979226539111612E+000                  6.9916512561279409E-001                  2.8030748500733121E-001                  2.5312685852289080E-004                  9.3115630232408573E-003                  3.4416106108119951E-003                  9.3604466091399777E-003                  8.3934911620743939E+000                  3.3623188854552093E+000                                        0                                        0                                        4 
                                      30                                     1003                  2.3826177194844462E+004                  3.0719914161641562E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.0784569091723104E+000                  2.5623678244687231E-001                  7.8125634372742318E-008                  9.9999997790134942E-001                  9.9999991396956600E-001                  6.7955733588269118E-001                  7.8125634372742318E-008                  9.9999997790134942E-001                  9.9999991396956600E-001                  3.7874607282855339E+000                 -3.0605200826921610E+001                 -1.1740169830895265E+001                  3.7874607282855339E+000                  1.9069927072549511E+000                  3.7817037899216683E+000                 -3.0605200826921610E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4528722545618684E+033                  7.1396062338911209E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4126119677446702E+000                  4.0133741364192206E+000                  7.0472196917289609E-001                  4.1076266611149581E+000                 -2.1312734645687056E-008                  3.5033223819963138E+002                  7.5015732908374932E+000                  8.6279161364381907E-001                  1.6525280968058656E+001                  8.6279161364381907E-001                  7.5015732908374932E+000                  6.2040191501387310E-001                  8.4954466833515452E-001                  1.2980308091339519E+000                  6.9908905696213530E-001                  2.8035663455763543E-001                  7.8879515286772644E-005                  9.3045599941078850E-003                  3.4416106108119955E-003                  9.3604466091399743E-003                  8.3930343987154750E+000                  3.3626087002408274E+000                                        0                                        0                                        3 
                                      35                                     1007                  2.9711369718442493E+004                  3.1080379257775657E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.4417913916507437E+000                  2.8570067357858664E-001                  7.8125634594786923E-008                  9.9999998024282222E-001                  9.9999992282186034E-001                  7.0207106985811918E-001                  7.8125634594786923E-008                  9.9999998024282222E-001                  9.9999992282186034E-001                  3.9185533975030626E+000                 -2.9962038158994329E+001                 -9.8999999999999986E+001                  3.9185533975030626E+000                  1.8010732831646454E+000                  3.9152270600626147E+000                 -2.9962038158994329E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8463647598701825E+033                  7.5155109089196096E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4182328254032202E+000                  4.0117767843122882E+000                  6.9268157780233042E-001                  4.1317074438560892E+000                 -1.8496168971976682E-008                  3.6149369848662855E+002                  7.5120898228908173E+000                  8.9107898440816380E-001                  1.6564321590688575E+001                  8.9107898440816380E-001                  7.5120898228908173E+000                  6.2043453278390637E-001                  8.4951075404809362E-001                  1.2981171520408623E+000                  6.9902136208846666E-001                  2.8042298004949873E-001                  6.0878366336513773E-005                  9.2945623274878538E-003                  3.4416106108119955E-003                  9.3604466091399743E-003                  8.3925861867319647E+000                  3.3630349957797554E+000                                        0                                        0                                        3 
                                      40                                     1013                  3.9350970019245287E+004                  3.4203970610415055E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.9396895535694507E+000                  3.2762141353240448E-001                  7.8125634594786923E-008                  9.9999998126721656E-001                  9.9999992882901256E-001                  7.1985206346351438E-001                  7.8125634594786923E-008                  9.9999998126721656E-001                  9.9999992882901256E-001                  3.9788473477032507E+000                 -2.9757767744045129E+001                 -9.8999999999999986E+001                  3.9788473477032507E+000                  1.7160720812557038E+000                  3.9764694264803846E+000                 -2.9757767744045129E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0652580626597199E+033                  7.7698027844704076E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4173780223304480E+000                  3.9850258530539677E+000                  6.8101571831871288E-001                  4.1550391628233241E+000                 -7.3186605578248120E-009                  3.7212911436190006E+002                  7.5155619447050901E+000                  8.9449442053818595E-001                  1.6571716734913629E+001                  8.9449442053818595E-001                  7.5155619447050901E+000                  6.2049358954101663E-001                  8.4944903659994242E-001                  1.2982721095782532E+000                  6.9889797219687166E-001                  2.8054893542324816E-001                  6.0909527718430622E-005                  9.2751601317491369E-003                  3.4416106108119955E-003                  9.3604466091399743E-003                  8.3916660988357314E+000                  3.3639378688204506E+000                                        0                                        0                                        3 
