                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.2000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_v_rot                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1153                  2.0046884346862029E+002                  2.3020468848809381E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.5189103506954087E+000                  3.7468219359806582E-001                  7.8125640905853918E-008                  9.9999999998686839E-001                  9.9999988781049509E-001                  9.7299513969553242E-001                  7.8125640905853918E-008                  9.9999999998686839E-001                  9.9999988781049509E-001                  4.8237173202677699E+000                 -3.0771706676403753E+001                 -9.8999999999999986E+001                  4.8237173202677699E+000                  3.3590308647404412E+000                  4.8085588617347890E+000                 -3.0771706676403753E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7287328375068228E+033                  1.0209571887450919E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3922176425030255E+000                  3.8811854680750164E+000                  6.7941628548408384E-001                  4.1582380284925824E+000                  1.9887751164351829E-006                  3.6528280686068717E+002                  7.4992441900195912E+000                  8.3734326931058478E-001                  1.6499067904900780E+001                  8.3734326931058478E-001                  7.4992441900195912E+000                  6.2020804473521374E-001                  8.4972838469219292E-001                  1.2974570858484269E+000                  6.9945261665316216E-001                  2.8024955415528147E-001                  1.6983934919540297E-003                  9.3191251003938800E-003                  3.4416106108119964E-003                  9.3604466091399743E-003                  8.3953241956174089E+000                  3.3620286432696642E+000                                        0                                        0                                        5 
                                       5                                     1026                  7.5015432597010863E+002                  2.1155190235230705E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  6.1263058334398659E+000                  5.0867412920541699E-001                  7.8125637294135898E-008                  9.9999997599890267E-001                  9.9999992040820218E-001                  9.7125640008256287E-001                  7.8125637294135898E-008                  9.9999997599890267E-001                  9.9999992040820218E-001                  4.5919966491794666E+000                 -3.1618686187970013E+001                 -1.0837079843903322E+001                  4.5919966491794666E+000                  3.1310150125960741E+000                  4.5767060127593835E+000                 -3.1618686187970013E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0665186168178842E+033                  9.6577753142604325E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3891592393615584E+000                  3.8832599734638769E+000                  6.8657034446144749E-001                  4.1439299105378549E+000                  1.2590216305876934E-007                  3.5900299382897470E+002                  7.4857231162832427E+000                  7.8973125366009889E-001                  1.6438505547622096E+001                  7.8973125366009889E-001                  7.4857231162832427E+000                  6.2019188973786588E-001                  8.4974491263114815E-001                  1.2974137459100259E+000                  6.9948575184468031E-001                  2.8022031631012972E-001                  1.7237215795572946E-003                  9.3236206395532015E-003                  3.4416106108119955E-003                  9.3604466091399725E-003                  8.3950385813667765E+000                  3.3620569076874895E+000                                        0                                        0                                        4 
                                      10                                     1014                  1.6421309493816989E+003                  2.3498150757466520E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  6.3119130179070657E+000                  5.2578150520379752E-001                  7.8125637294135898E-008                  9.9999997248669348E-001                  9.9999991378812569E-001                  9.7213806578065298E-001                  7.8125637294135898E-008                  9.9999997248669348E-001                  9.9999991378812569E-001                  4.3569138734956621E+000                 -3.2356580411125144E+001                 -1.1138109839567303E+001                  4.3569138734956621E+000                  2.8658364053487784E+000                  4.3426639569871766E+000                 -3.2356580411125144E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3542307508324238E+033                  9.0380870554315687E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3814727017389590E+000                  3.8671748517226954E+000                  6.9390085883605601E-001                  4.1292688817886374E+000                  6.7716795782344585E-008                  3.5283842441791330E+002                  7.4739233017808511E+000                  7.5119951278811048E-001                  1.6388416169891872E+001                  7.5119951278811048E-001                  7.4739233017808511E+000                  6.2019801529673535E-001                  8.4973961207833693E-001                  1.2974340165840330E+000                  6.9947558514394659E-001                  2.8021455209028528E-001                  1.6210677617601119E-003                  9.3246219644252670E-003                  3.4416106108119955E-003                  9.3604466091399725E-003                  8.3947676285564334E+000                  3.3620829238374688E+000                                        0                                        0                                        3 
                                      15                                     1005                  3.3166611850627396E+003                  2.6283923383400611E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  5.7302754399051299E+000                  4.7740226299264077E-001                  7.8125637516180503E-008                  9.9999996985253659E-001                  9.9999990650273274E-001                  9.7299513969553197E-001                  7.8125637516180503E-008                  9.9999996985253659E-001                  9.9999990650273274E-001                  4.1334758652013521E+000                 -3.2983427330695655E+001                 -1.1740169830895265E+001                  4.1334758652013530E+000                  2.5981037445114472E+000                  4.1206283208100274E+000                 -3.2983427330695655E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6462834191148923E+033                  8.4050696814969096E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3739329339850732E+000                  3.8534211660191655E+000                  7.0210355149206194E-001                  4.1128634964766260E+000                  4.7957760830859265E-008                  3.4623992433828590E+002                  7.4637346488678125E+000                  7.2099700204728168E-001                  1.6347983793140799E+001                  7.2099700204728168E-001                  7.4637346488678125E+000                  6.2021126544751815E-001                  8.4972747072162047E-001                  1.2974750179480099E+000                  6.9945183366897878E-001                  2.8021425713719811E-001                  1.4673764094638973E-003                  9.3248213089679663E-003                  3.4416106108119955E-003                  9.3604466091399725E-003                  8.3944668524276285E+000                  3.3621110944199133E+000                                        0                                        0                                        4 
                                      20                                      999                  6.2872534664215391E+003                  2.8556862427553216E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.7189637292120912E+000                  3.9152270923376220E-001                  7.8125637516180503E-008                  9.9999996765740584E-001                  9.9999989719005866E-001                  9.7382824515201083E-001                  7.8125637516180503E-008                  9.9999996765740584E-001                  9.9999989719005866E-001                  3.9628473150395589E+000                 -3.3352801953540400E+001                 -1.1740169830895265E+001                  3.9628473150395593E+000                  2.3708879994110612E+000                  3.9515898247198344E+000                 -3.3352801953540400E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0954118407321194E+033                  7.8349025818520116E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3724565059104465E+000                  3.8736274009186595E+000                  7.1515952509106218E-001                  4.0867515492786257E+000                  4.7017944310862839E-008                  3.3632710864451792E+002                  7.4575034539805625E+000                  7.0784028754002482E-001                  1.6328135363451292E+001                  7.0784028754002482E-001                  7.4575034539805625E+000                  6.2022947178653076E-001                  8.4971066774238035E-001                  1.2975306629055936E+000                  6.9941878980530137E-001                  2.8021646948932954E-001                  1.2721473302031512E-003                  9.3246582375984856E-003                  3.4416106108119955E-003                  9.3604466091399725E-003                  8.3941232056486772E+000                  3.3621432851328503E+000                                        0                                        0                                        3 
                                      25                                      996                  1.1592305873160754E+004                  3.1469988585726489E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.9792208436356797E+000                  3.2921234079456918E-001                  7.8125637516180503E-008                  9.9999996765740595E-001                  9.9999988823510944E-001                  9.7213806578065298E-001                  7.8125637516180503E-008                  9.9999996765740595E-001                  9.9999988823510944E-001                  3.8816778245634773E+000                 -3.3281588333125079E+001                 -9.8999999999999986E+001                  3.8816778245634769E+000                  2.2138462041579259E+000                  3.8722445869868070E+000                 -3.3281588333125079E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8000972960073830E+033                  7.5196658310211874E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3805093145015341E+000                  3.9349254499066055E+000                  7.2970293240285988E-001                  4.0576647346550301E+000                  1.8799109601726452E-008                  3.2652041437482609E+002                  7.4585073859859916E+000                  7.1978620381634828E-001                  1.6340357917176565E+001                  7.1978620381634828E-001                  7.4585073859859916E+000                  6.2025576385615655E-001                  8.4968638122648943E-001                  1.2976105914680791E+000                  6.9937084260273363E-001                  2.8022087254007438E-001                  9.9927512241116193E-004                  9.3242017429169648E-003                  3.4416106108119955E-003                  9.3604466091399725E-003                  8.3936521866491116E+000                  3.3621908243730125E+000                                        0                                        0                                        3 
                                      30                                      992                  2.3286855599338087E+004                  3.4375196158268833E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.6482940237521158E+000                  3.0354407013851648E-001                  7.8125637293268536E-008                  9.9999997102327309E-001                  9.9999989245558973E-001                  9.6845731676876223E-001                  7.8125637293268536E-008                  9.9999997102327309E-001                  9.9999989245558973E-001                  3.8632696406790807E+000                 -3.2334320571202490E+001                 -1.1740169830895265E+001                  3.8632696406790807E+000                  2.1010068741300159E+000                  3.8556960322783977E+000                 -3.2334320571202490E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7387093268173403E+033                  7.4600480177718343E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3948714563745224E+000                  3.9845932527150620E+000                  7.2581255006111312E-001                  4.0654454993385238E+000                 -1.1941210887900161E-008                  3.3226347307601600E+002                  7.4738565752258230E+000                  7.7236495547670636E-001                  1.6407748942188714E+001                  7.7236495547670636E-001                  7.4738565752258230E+000                  6.2030934494509271E-001                  8.4963661856597084E-001                  1.2977718970101875E+000                  6.9927220710421700E-001                  2.8023582585035023E-001                  4.7975912954263406E-004                  9.3223269988631334E-003                  3.4416106108119955E-003                  9.3604466091399725E-003                  8.3926889515871412E+000                  3.3623383782239835E+000                                        0                                        0                                        4 
                                      35                                      985                  3.2898060390407605E+004                  3.1942845798777055E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.4227345118644665E+000                  2.8081120487459554E-001                  7.8125637293268536E-008                  9.9999997599890278E-001                  9.9999990739141442E-001                  9.6747064775370351E-001                  7.8125637293268536E-008                  9.9999997599890278E-001                  9.9999990739141442E-001                  3.8294433680311442E+000                 -3.1228963517323749E+001                 -9.8999999999999986E+001                  3.8294433680311442E+000                  2.0391362220811238E+000                  3.8223472572041537E+000                 -3.1228963517323749E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6307588040855722E+033                  7.3432466989148322E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4059940741316357E+000                  3.9999217629686736E+000                  7.1123156967369172E-001                  4.0946074601133660E+000                 -1.8084585219061533E-008                  3.4556315302516606E+002                  7.4915814946539641E+000                  8.2856424131807638E-001                  1.6481420054839759E+001                  8.2856424131807638E-001                  7.4915814946539641E+000                  6.2034871164564809E-001                  8.4959911702989455E-001                  1.2978872378469013E+000                  6.9919770454911312E-001                  2.8026192821867929E-001                  1.7765126631743894E-004                  9.3187304179159838E-003                  3.4416106108119955E-003                  9.3604466091399725E-003                  8.3919568871665327E+000                  3.3625861560434922E+000                                        0                                        0                                        3 
                                      40                                      982                  3.9843484072766114E+004                  3.1311283026830088E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.3901820365352191E+000                  2.8081120487459554E-001                  7.8125637293268536E-008                  9.9999997921842787E-001                  9.9999991794153242E-001                  9.6845731676876223E-001                  7.8125637293268536E-008                  9.9999997921842787E-001                  9.9999991794153242E-001                  3.8617648828478948E+000                 -3.0398932520648437E+001                 -9.8999999999999986E+001                  3.8617648828478943E+000                  1.9685614343737556E+000                  3.8561753873181033E+000                 -3.0398932520648437E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7061503516908290E+033                  7.4033775761910158E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4137445691806416E+000                  4.0055455111697995E+000                  6.9854245367624401E-001                  4.1199856921082620E+000                 -1.8083660185813769E-008                  3.5708931692265060E+002                  7.5049961152666933E+000                  8.6947567942586379E-001                  1.6535682872969652E+001                  8.6947567942586379E-001                  7.5049961152666933E+000                  6.2037429503777264E-001                  8.4957346919768129E-001                  1.2979581397028788E+000                  6.9914664958491968E-001                  2.8029875823033368E-001                  8.3935541238511693E-005                  9.3133525437216324E-003                  3.4416106108119955E-003                  9.3604466091399725E-003                  8.3914473100793110E+000                  3.3629346831612814E+000                                        0                                        0                                        3 
