                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      6.6500000000000004E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      569                  1.0000000000000001E-005                 -4.9999999999999991E+000                  6.6500000000000004E-001                  3.3121500095863290E+001                 -9.8999999999999986E+001                  4.4856032260656574E-005                  8.4416993806178331E-001                  1.7119243293410938E-003                  9.9999850093681020E-001                  9.3926505974484897E-001                  8.4416993806178331E-001                  1.7119243293410938E-003                  9.9999850093681020E-001                  9.3926505974484897E-001                 -1.0234775771954114E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0234775771954114E+001                 -1.0234775771954114E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6171910219316885E+000                  2.0127344829700404E+000                  1.2952440340742695E+000                  1.6702229305676910E+000                 -1.0100731282113971E-001                  5.4778773763321862E+000                 -2.9396912373159294E+000                  1.0659905333577123E+001                 -2.9396912373159294E+000                  5.4778773763321862E+000                  6.2154718769113770E-001                  8.5000496539657666E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  4.6550000000000058E-001                  1.8618018457255808E-001                                        0                                        0                                        6 
                                       5                                      569                  7.4416000000000000E-005                 -4.6832750158095005E+000                  6.6500000000000004E-001                  3.3121500095863290E+001                 -9.8999999999999986E+001                  4.4854651435634610E-005                  8.4416993806178331E-001                  1.7119243295859133E-003                  9.9999850093681020E-001                  9.3926505974412389E-001                  8.4416993806178331E-001                  1.7119243295859133E-003                  9.9999850093681020E-001                  9.3926505974412389E-001                 -1.0234776337817982E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0234776337817982E+001                 -1.0234776337817982E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6157551643984345E+000                  2.0068342944038777E+000                  1.2951656548576962E+000                  1.6703796890008376E+000                 -1.8176649770590106E-001                  5.4778773916494448E+000                 -2.9396911866302746E+000                  1.0659905399585368E+001                 -2.9396911866302746E+000                  5.4778773916494448E+000                  6.2154718767195549E-001                  8.5000496539657666E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  4.6550000000000058E-001                  1.8618018457255808E-001                                        0                                        0                                        5 
                                      10                                      571                  2.5958682111999992E-004                 -4.2873687855713767E+000                  6.6500000000000004E-001                  3.3121500095863290E+001                 -9.8999999999999986E+001                  4.4850511316429280E-005                  8.4416993806178331E-001                  1.7119243330320335E-003                  9.9999850093681020E-001                  9.3926505974319618E-001                  8.4416993806178331E-001                  1.7119243330320335E-003                  9.9999850093681020E-001                  9.3926505974319618E-001                 -1.0234777787810403E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0234777787810403E+001                 -1.0234777787810403E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6122422023551102E+000                  1.9923786461280781E+000                  1.2949637548064452E+000                  1.6707834891033395E+000                 -1.5789913981719644E-001                  5.4778774388817970E+000                 -2.9396910602721755E+000                  1.0659905573362083E+001                 -2.9396910602721755E+000                  5.4778774388817970E+000                  6.2154718757004168E-001                  8.5000496539657666E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  4.6550000000000058E-001                  1.8618018457255808E-001                                        0                                        0                                        5 
                                      15                                      570                  7.2035107872931792E-004                 -3.8914625553332525E+000                  6.6500000000000004E-001                  3.3121500095863290E+001                 -9.8999999999999986E+001                  4.4835205997003967E-005                  8.4819614297838097E-001                  1.7119243415635674E-003                  9.9999843797221366E-001                  9.3926505973954100E-001                  8.4819614297838097E-001                  1.7119243415635674E-003                  9.9999843797221366E-001                  9.3926505973954100E-001                 -1.0234780608547595E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0234780608547595E+001                 -1.0234780608547595E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6060523370388933E+000                  1.9668249305339542E+000                  1.2945666276418175E+000                  1.6715777434325947E+000                 -1.1902127083756497E-001                  5.4778775567842786E+000                 -2.9396908162473840E+000                  1.0659905936159344E+001                 -2.9396908162473840E+000                  5.4778775567842786E+000                  6.2154718721365620E-001                  8.5000496539657666E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  4.6550000000000058E-001                  1.8618018457255808E-001                                        0                                        0                                        5 
                                      20                                      571                  1.8668799962237360E-003                 -3.4955563250951283E+000                  6.6500000000000004E-001                  3.3121500095863290E+001                 -9.8999999999999986E+001                  4.4757956034392316E-005                  8.6786603198883738E-001                  1.7119243624111066E-003                  9.9999843797221366E-001                  9.3926505972565599E-001                  8.6786603198883738E-001                  1.7119243624111066E-003                  9.9999843797221366E-001                  9.3926505972565599E-001                 -1.0234785110266806E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0234785110266806E+001                 -1.0234785110266806E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5976835965405480E+000                  1.9320548017013357E+000                  1.2939190442221988E+000                  1.6728729102718320E+000                 -7.2686726404924920E-002                  5.4778778084410344E+000                 -2.9396903858196706E+000                  1.0659906620613771E+001                 -2.9396903858196706E+000                  5.4778778084410344E+000                  6.2154718632379591E-001                  8.5000496539657666E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  4.6550000000000058E-001                  1.8618018457255808E-001                                        0                                        0                                        4 
                                      25                                      565                  4.7198108322034464E-003                 -3.0996500948570045E+000                  6.6500000000000004E-001                  3.3121500095863290E+001                 -9.8999999999999986E+001                  4.4200662671958475E-005                  8.6786603198883738E-001                  1.7119244107197584E-003                  9.9999850093681031E-001                  9.3172706296809105E-001                  8.6786603198883738E-001                  1.7119244107197584E-003                  9.9999850093681031E-001                  9.3172706296809105E-001                 -1.0234790970992250E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0234790970992250E+001                 -1.0234790970992250E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5894240282471688E+000                  1.8973758101929592E+000                  1.2930986850547683E+000                  1.6745136286066931E+000                 -3.3800936222535473E-002                  5.4778782503535162E+000                 -2.9396896920957016E+000                  1.0659907760764263E+001                 -2.9396896920957016E+000                  5.4778782503535162E+000                  6.2154718467248016E-001                  8.5000496539657666E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  4.6550000000000058E-001                  1.8618018457255808E-001                                        0                                        0                                        5 
                                      30                                      564                  1.1818815689988476E-002                 -2.7037438646188803E+000                  6.6500000000000004E-001                  3.3121500095863290E+001                 -9.8999999999999986E+001                  3.8959367845495943E-005                  8.6786603198883738E-001                  1.7119245058036118E-003                  9.9999892561972470E-001                  9.2581777357803907E-001                  8.6786603198883738E-001                  1.7119245058036118E-003                  9.9999892561972470E-001                  9.2581777357803907E-001                 -1.0234794053500359E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0234794053500359E+001                 -1.0234794053500359E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5833851823716198E+000                  1.8716276797940159E+000                  1.2923023116063947E+000                  1.6761063755034402E+000                 -1.2032725480148309E-002                  5.4778790798650530E+000                 -2.9396884233207485E+000                  1.0659909867713564E+001                 -2.9396884233207485E+000                  5.4778790798650530E+000                  6.2154718152514299E-001                  8.5000496539657666E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  4.6550000000000058E-001                  1.8618018457255808E-001                                        0                                        0                                        6 
                                      35                                      563                  2.9483411457712123E-002                 -2.3078376343807565E+000                  6.6500000000000004E-001                  3.3121500095863290E+001                 -9.8999999999999986E+001                  2.5756473732628343E-005                  8.7474410340242792E-001                  1.7119246246846522E-003                  9.9999903917014754E-001                  9.2150784988397039E-001                  8.7474410340242792E-001                  1.7119246246846522E-003                  9.9999903917014754E-001                  9.2150784988397039E-001                 -1.0234785256024242E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0234785256024242E+001                 -1.0234785256024242E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5800714430682392E+000                  1.8571540256891457E+000                  1.2916929631607204E+000                  1.6773250723947892E+000                 -3.3818318384063262E-003                  5.4778807434034276E+000                 -2.9396858899495704E+000                  1.0659914082058750E+001                 -2.9396858899495704E+000                  5.4778807434034276E+000                  6.2154717519775982E-001                  8.5000496539657666E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  4.6550000000000058E-001                  1.8618018457255808E-001                                        0                                        0                                        5 
                                      40                                      562                  7.3438578398454205E-002                 -1.9119314041426323E+000                  6.6500000000000004E-001                  3.3121500095863290E+001                 -9.8999999999999986E+001                  2.5750011733991931E-005                  8.8755431304420274E-001                  1.7119244884563044E-003                  9.9999910856234331E-001                  9.1220328596442257E-001                  8.8755431304420274E-001                  1.7119244884563044E-003                  9.9999910856234331E-001                  9.1220328596442257E-001                 -1.0234738619225389E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0234738619225389E+001                 -1.0234738619225389E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5787543809561684E+000                  1.8511468661946144E+000                  1.2913235076375960E+000                  1.6780639834410380E+000                 -7.4566624055763216E-004                  5.4778847816098368E+000                 -2.9396797430464843E+000                  1.0659924309508579E+001                 -2.9396797430464843E+000                  5.4778847816098368E+000                  6.2154715983559283E-001                  8.5000496539657666E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  4.6550000000000058E-001                  1.8618018457255808E-001                                        0                                        0                                        5 
