                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      557                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2514961222773399E-004                  8.7200417889067272E-001                  2.4036009981138069E-004                  9.9999773039059303E-001                  9.4991627395564870E-001                  8.7200417889067272E-001                  2.4036009981138069E-004                  9.9999773039059303E-001                  9.4991627395564870E-001                 -2.0876598828357412E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876598828357412E+001                 -2.0876598828357412E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6354097564468058E+000                  2.4300636919144498E+000                  1.4674711695162399E+000                  1.5029470143806454E+000                 -3.0881210126708125E-001                  5.4778854743818979E+000                 -3.2899138097082012E+000                  1.0311508160452487E+001                 -3.2899138097082012E+000                  5.4778854743818979E+000                  6.2131684758165662E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120393E-003                  9.3604466091399725E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        0                                        6 
                                       2                                      558                  2.2000000000000003E-005                 -4.9208187539523749E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2514961376215849E-004                  8.7200417889067272E-001                  2.4036036719911528E-004                  9.9999773039059303E-001                  9.4991627395574019E-001                  8.7200417889067272E-001                  2.4036036719911528E-004                  9.9999773039059303E-001                  9.4991627395574019E-001                 -2.0876598891498901E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876598891498901E+001                 -2.0876598891498901E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6350837282557809E+000                  2.4287264574590681E+000                  1.4674546086705982E+000                  1.5029801360719288E+000                 -3.0460557918199194E-001                  5.4778854766242331E+000                 -3.2899137999480517E+000                  1.0311508172444038E+001                 -3.2899137999480517E+000                  5.4778854766242331E+000                  6.2131684758148387E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120393E-003                  9.3604466091399725E-003                  7.0000000000000029E-001                  2.7997020236474890E-001                                        0                                        0                                        6 
                                       3                                      558                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2515618311669826E-004                  8.7200417889067272E-001                  2.4036069453181157E-004                  9.9999773039059303E-001                  9.4991627395582523E-001                  8.7200417889067272E-001                  2.4036069453181157E-004                  9.9999773039059303E-001                  9.4991627395582523E-001                 -2.0876598966121836E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876598966121836E+001                 -2.0876598966121836E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6346998209091015E+000                  2.4271514562407863E+000                  1.4674349227548167E+000                  1.5030195079034918E+000                 -3.0187028452444198E-001                  5.4778854793949376E+000                 -3.2899137884567282E+000                  1.0311508186695162E+001                 -3.2899137884567282E+000                  5.4778854793949376E+000                  6.2131684758085293E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120393E-003                  9.3604466091399725E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        0                                        6 
                                       4                                      558                  5.3680000000000001E-005                 -4.7624562618571247E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2516153313262712E-004                  8.7200417889067272E-001                  2.4036109672252983E-004                  9.9999773039059303E-001                  9.4991627395589318E-001                  8.7200417889067272E-001                  2.4036109672252983E-004                  9.9999773039059303E-001                  9.4991627395589318E-001                 -2.0876599053954564E+001                 -9.8999999999999986E+001                 -3.6725659471005699E+001                 -2.0876599053954564E+001                 -2.0876599053954564E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6342459313504261E+000                  2.4252892131191692E+000                  1.4674115803113588E+000                  1.5030661927904077E+000                 -2.9843886690660804E-001                  5.4778854828302270E+000                 -3.2899137749589671E+000                  1.0311508203618144E+001                 -3.2899137749589671E+000                  5.4778854828302270E+000                  6.2131684757951910E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120393E-003                  9.3604466091399725E-003                  7.0000000000000029E-001                  2.7997020236474890E-001                                        0                                        0                                        6 
                                       5                                      558                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2516504911744205E-004                  8.7200417889067272E-001                  2.4036159301056882E-004                  9.9999773039059303E-001                  9.4991627395592837E-001                  8.7200417889067272E-001                  2.4036159301056882E-004                  9.9999773039059303E-001                  9.4991627395592837E-001                 -2.0876599157002847E+001                 -9.8999999999999986E+001                 -3.6725659471005699E+001                 -2.0876599157002847E+001                 -2.0876599157002847E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6337112690679283E+000                  2.4230953773981896E+000                  1.4673839870158643E+000                  1.5031213793813964E+000                 -2.9416932049643074E-001                  5.4778854870937925E+000                 -3.2899137591584999E+000                  1.0311508223674048E+001                 -3.2899137591584999E+000                  5.4778854870937925E+000                  6.2131684757716454E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120389E-003                  9.3604466091399725E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        0                                        6 
                                       6                                      558                  9.9299199999999986E-005                 -4.6040937697618753E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2516728025912217E-004                  8.7200417889067272E-001                  2.4036220846096947E-004                  9.9999773039059303E-001                  9.4991627395590839E-001                  8.7200417889067272E-001                  2.4036220846096947E-004                  9.9999773039059303E-001                  9.4991627395590839E-001                 -2.0876599277502425E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876599277502425E+001                 -2.0876599277502425E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6330854503539478E+000                  2.4205270869810671E+000                  1.4673514792352649E+000                  1.5031863949425952E+000                 -2.8900912445378890E-001                  5.4778854923862959E+000                 -3.2899137407371342E+000                  1.0311508247383305E+001                 -3.2899137407371342E+000                  5.4778854923862959E+000                  6.2131684757336536E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120393E-003                  9.3604466091399725E-003                  7.0000000000000029E-001                  2.7997020236474890E-001                                        0                                        0                                        6 
                                       7                                      558                  1.2915903999999998E-004                 -4.5249125237142502E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2516869353182181E-004                  8.7200417889067272E-001                  2.4036297606017324E-004                  9.9999773039059303E-001                  9.4991627395580136E-001                  8.7200417889067272E-001                  2.4036297606017324E-004                  9.9999773039059303E-001                  9.4991627395580136E-001                 -2.0876599417862483E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876599417862483E+001                 -2.0876599417862483E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6323575620675519E+000                  2.4175392195317142E+000                  1.4673133220833787E+000                  1.5032627092463675E+000                 -2.8293190418000430E-001                  5.4778854989556809E+000                 -3.2899137193574819E+000                  1.0311508275333443E+001                 -3.2899137193574819E+000                  5.4778854989556809E+000                  6.2131684756755745E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120389E-003                  9.3604466091399725E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        0                                        6 
                                       8                                      556                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2516958435582638E-004                  8.7200417889067272E-001                  2.4036393971859195E-004                  9.9999773039059303E-001                  9.4991627395556444E-001                  8.7200417889067272E-001                  2.4036393971859195E-004                  9.9999773039059303E-001                  9.4991627395556444E-001                 -2.0876599580127696E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876599580127696E+001                 -2.0876599580127696E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6315045610991246E+000                  2.4140377016813024E+000                  1.4672685650950286E+000                  1.5033522232230681E+000                 -2.7682936617478554E-001                  5.4778855071416919E+000                 -3.2899136946387886E+000                  1.0311508308248344E+001                 -3.2899136946387886E+000                  5.4778855071416919E+000                  6.2131684755890804E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120389E-003                  9.3604466091399725E-003                  7.0000000000000029E-001                  2.7997020236474890E-001                                        0                                        0                                        6 
                                       9                                      559                  2.0798901759999997E-004                 -4.3665500316190009E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2517013004051026E-004                  8.7200417889067294E-001                  2.4036515855236905E-004                  9.9999773039059303E-001                  9.4991627395514089E-001                  8.7200417889067294E-001                  2.4036515855236905E-004                  9.9999773039059303E-001                  9.4991627395514089E-001                 -2.0876599767680830E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0876599767680830E+001                 -2.0876599767680830E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6305350279313728E+000                  2.4100555879196364E+000                  1.4672165745496992E+000                  1.5034562043137265E+000                 -2.6827486194410205E-001                  5.4778855172984171E+000                 -3.2899136663141859E+000                  1.0311508346753095E+001                 -3.2899136663141859E+000                  5.4778855172984171E+000                  6.2131684754645244E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120389E-003                  9.3604466091399725E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        0                                        6 
