                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.2000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_v_rot                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1153                  2.0046884346862029E+002                  2.3020468848809381E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.5189103506954087E+000                  3.7468219359806582E-001                  7.8125640905853918E-008                  9.9999999998686839E-001                  9.9999988781049509E-001                  3.7468219359806582E-001                  7.8125640905853918E-008                  9.9999999998686839E-001                  9.9999988781049509E-001                  4.3052195567430447E+000                 -3.0396488615725918E+001                 -9.8999999999999986E+001                  4.3052195567430447E+000                  2.3065241055753667E+000                  4.3008415540681577E+000                 -3.0396488615725918E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1169117427509236E+033                  8.7820828872877639E+033                  9.0186101500055850E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1280195096847830E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3969381267509267E+000                  3.8957303066374496E+000                  6.7724773626949686E-001                  4.1625751269217561E+000                  1.8580286683414005E-006                  3.6731385926739830E+002                  7.5052237408071072E+000                  8.5964151450982362E-001                  1.6526853144663178E+001                  8.5964151450982362E-001                  7.5052237408071072E+000                  6.2044104534853117E-001                  8.4950032286735677E-001                  1.2981223556637607E+000                  6.9900006453971664E-001                  2.8049407752363081E-001                  3.5846582230841703E-004                  9.2825017043756380E-003                  3.4416106108119964E-003                  9.3604466091399743E-003                  8.3954248494779566E+000                  3.3620261546876069E+000                                        0                                        0                                        5 
                                       5                                     1051                  8.2785613598801433E+002                  2.2665893509600750E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.6515551543658002E+000                  3.8695297542935431E-001                  7.8125640908476134E-008                  9.9999997870623059E-001                  9.9999992634450718E-001                  3.8695297542935431E-001                  7.8125640908476134E-008                  9.9999997870623059E-001                  9.9999992634450718E-001                  4.2264492336444501E+000                 -3.0585118007800148E+001                 -1.1138109839567303E+001                  4.2264492336444510E+000                  2.2939386788007150E+000                  4.2213462668596291E+000                 -3.0585118007800148E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9256004007698314E+033                  8.6226163221946744E+033                  9.3139760879527292E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1107737382123684E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4026523993833786E+000                  3.9267900763483334E+000                  6.8134907586003546E-001                  4.1543724477406787E+000                  6.7522269332904817E-008                  3.6376474246980803E+002                  7.5022219666833427E+000                  8.4823960335972182E-001                  1.6512638571114721E+001                  8.4823960335972182E-001                  7.5022219666833427E+000                  6.2043936552309464E-001                  8.4950242017831801E-001                  1.2981188977372700E+000                  6.9900421157389436E-001                  2.8048550719279136E-001                  3.3376723404826249E-004                  9.2838145208279030E-003                  3.4416106108119959E-003                  9.3604466091399743E-003                  8.3953062867981618E+000                  3.3620616013969098E+000                                        0                                        0                                        3 
                                      10                                     1048                  2.4776774850573993E+003                  2.6624955811981992E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.7644451703730848E+000                  3.9455840320935920E-001                  7.8125641409666905E-008                  9.9999997790134931E-001                  9.9999992304490104E-001                  3.9455840320935920E-001                  7.8125641409666905E-008                  9.9999997790134931E-001                  9.9999992304490104E-001                  4.0236316490388413E+000                 -3.0886768015289139E+001                 -9.8999999999999986E+001                  4.0236316490388413E+000                  2.1720732370055957E+000                  4.0174756254511399E+000                 -3.0886768015289139E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2776337635698779E+033                  8.0609317180845741E+033                  9.7409643302298500E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0857781040172985E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4018460350945974E+000                  3.9348333264994313E+000                  6.8698342951314662E-001                  4.1431037404344568E+000                  2.0030004738244293E-008                  3.5971036236359413E+002                  7.4973709042080765E+000                  8.3216364156717137E-001                  1.6491827067877594E+001                  8.3216364156717137E-001                  7.4973709042080765E+000                  6.2044586393022017E-001                  8.4949684394842895E-001                  1.2981397477422836E+000                  6.9899311569881861E-001                  2.8048062557541009E-001                  2.3750830932015444E-004                  9.2846472603745032E-003                  3.4416106108119955E-003                  9.3604466091399743E-003                  8.3950636304501849E+000                  3.3621385811005000E+000                                        0                                        0                                        3 
                                      15                                     1045                  6.5829609443737318E+003                  3.0584018114363229E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.5854418848231577E+000                  2.9869169206579488E-001                  7.8125638045607726E-008                  9.9999997870623059E-001                  9.9999992226421730E-001                  2.9869169206579488E-001                  7.8125638045607726E-008                  9.9999997870623059E-001                  9.9999992226421730E-001                  3.7889605584936299E+000                 -3.0588539790707884E+001                 -1.2041199826559247E+001                  3.7889605584936299E+000                  1.8764065330835362E+000                  3.7836161487088456E+000                 -3.0588539790707884E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4733526603041580E+033                  7.2308722240700148E+033                  9.7322752156448834E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1167264542275023E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4071365595794454E+000                  3.9607967284744623E+000                  6.8938408153096709E-001                  4.1383024363988152E+000                  1.2293504929637158E-009                  3.5939270751847488E+002                  7.5020422411610026E+000                  8.5374605351084720E-001                  1.6517460489613537E+001                  8.5374605351084720E-001                  7.5020422411610026E+000                  6.2048393674059743E-001                  8.4945898579122558E-001                  1.2982461134278553E+000                  6.9891773455218731E-001                  2.8053103636810039E-001                  7.6188040655999763E-005                  9.2773604269666809E-003                  3.4416106108119955E-003                  9.3604466091399743E-003                  8.3947505947993868E+000                  3.3623431240381634E+000                                        0                                        0                                        3 
                                      20                                     1049                  1.6332862478554012E+004                  3.4035383447523540E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.5940915102756730E+000                  2.9869169206579510E-001                  7.8125638267652331E-008                  9.9999998126721645E-001                  9.9999992677973548E-001                  2.9869169206579510E-001                  7.8125638267652331E-008                  9.9999998126721645E-001                  9.9999992677973548E-001                  3.9406332081989244E+000                 -2.9855101111251070E+001                 -1.1740169830895265E+001                  3.9406332081989244E+000                  1.6801352503583604E+000                  3.9382427506591471E+000                 -2.9855101111251070E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9114344308669830E+033                  8.1335545971896796E+033                  9.7181612668807143E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1697206309241008E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4167913824943970E+000                  3.9896142326433419E+000                  6.8448318778550310E-001                  4.1481042238897432E+000                 -6.7957419381269495E-009                  3.6640842205271969E+002                  7.5138964281794527E+000                  8.9246820238084834E-001                  1.6567734166944749E+001                  8.9246820238084834E-001                  7.5138964281794527E+000                  6.2058431083725196E-001                  8.4935433683784567E-001                  1.2985103093000214E+000                  6.9870859996906698E-001                  2.8074134919065208E-001                  5.6594131470560669E-005                  9.2457290666042059E-003                  3.4416106108119955E-003                  9.3604466091399743E-003                  8.3939833423157406E+000                  3.3631076343341677E+000                                        0                                        0                                        3 
                                      25                                     1049                  3.8253991314890096E+004                  3.7859215765602428E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.9812333319832365E+000                  3.2921234079456990E-001                  7.8125638267652331E-008                  9.9999998126721645E-001                  9.9999993043606927E-001                  3.2921234079456990E-001                  7.8125638267652331E-008                  9.9999998126721645E-001                  9.9999993043606927E-001                  3.9746526912341462E+000                 -2.9755897748394943E+001                 -1.1740169830895265E+001                  3.9746526912341462E+000                  1.6414478561910448E+000                  3.9726315826872702E+000                 -2.9755897748394943E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0199054559429178E+033                  7.7498583139144476E+033                  8.0195468641359786E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.1307947570905593E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4157265214241432E+000                  3.9727431158588580E+000                  6.7817735153376857E-001                  4.1607158963932127E+000                 -5.4079974982261273E-010                  3.7402309717708681E+002                  7.5155700517533228E+000                  8.9323863454789243E-001                  1.6570356664427759E+001                  8.9323863454789243E-001                  7.5155700517533228E+000                  6.2082495877742927E-001                  8.4910318970865606E-001                  1.2991416714098341E+000                  6.9820631826220625E-001                  2.8125347524132022E-001                  5.7537516044080224E-005                  9.1685333986953627E-003                  3.4416106108119955E-003                  9.3604466091399743E-003                  8.3918754650990603E+000                  3.3652369839887011E+000                                        0                                        0                                        3 
                                      30                                     1047                  9.2800774620921875E+004                  4.1818278067983670E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.9891042705769633E+000                  3.3239419531889330E-001                  7.8125638267652331E-008                  9.9999998126721645E-001                  9.9999992987038455E-001                  3.3239419531889330E-001                  7.8125638267652331E-008                  9.9999998126721645E-001                  9.9999992987038455E-001                  3.9732984720702142E+000                 -2.9792904613627694E+001                 -1.1740169830895265E+001                  3.9732984720702142E+000                  1.6177266457618344E+000                  3.9713790439831169E+000                 -2.9792904613627694E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0169694915840951E+033                  7.7434962848518043E+033                  9.7223056201762721E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1632059421956121E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4149408609554435E+000                  3.9717580628163853E+000                  6.7925614594993255E-001                  4.1585583075608845E+000                  2.1861622293505620E-010                  3.7557824430537960E+002                  7.5148867061614366E+000                  8.9060881383820989E-001                  1.6566696188449942E+001                  8.9060881383820989E-001                  7.5148867061614366E+000                  6.2143728295308487E-001                  8.4846537887347018E-001                  1.3007483422201558E+000                  6.9693069568102661E-001                  2.8255286756824533E-001                  5.9228164983882407E-005                  8.9806077719301811E-003                  3.4416106108119955E-003                  9.3604466091399743E-003                  8.3866217953808118E+000                  3.3705460643749188E+000                                        0                                        0                                        3 
                                      35                                     1045                  2.2853062645698694E+005                  4.5777340370364907E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.9893190193368744E+000                  3.3239419531889330E-001                  7.8125638267652331E-008                  9.9999998024282211E-001                  9.9999992825810191E-001                  3.3239419531889330E-001                  7.8125638267652331E-008                  9.9999998024282211E-001                  9.9999992825810191E-001                  3.9745877596827750E+000                 -2.9857268770769068E+001                 -1.1740169830895265E+001                  3.9745877596827750E+000                  1.5849079278487010E+000                  3.9728136059294199E+000                 -2.9857268770769068E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0169619135935571E+033                  7.7318057043325440E+033                  9.7362959004109569E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1432167517541594E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4138533250787972E+000                  3.9731958361060911E+000                  6.8215010434807832E-001                  4.1527703907645934E+000                  1.9199387328254185E-010                  3.7593195901984541E+002                  7.5136334029978844E+000                  8.8579669164677777E-001                  1.6559724264027807E+001                  8.8579669164677777E-001                  7.5136334029978844E+000                  6.2298419143489836E-001                  8.4686162284802735E-001                  1.3048081965852778E+000                  6.9372318370734287E-001                  2.8581471038921968E-001                  6.3119382054465311E-005                  8.5511511358725197E-003                  3.4416106108119955E-003                  9.3604466091399743E-003                  8.3735406409659809E+000                  3.3837614486008851E+000                                        0                                        0                                        4 
                                      40                                     1033                  5.6626993137770426E+005                  4.9736402672746145E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.9722716492967609E+000                  3.2921234079456990E-001                  7.8125638267652331E-008                  9.9999998024282211E-001                  9.9999992496454648E-001                  3.2921234079456990E-001                  7.8125638267652331E-008                  9.9999998024282211E-001                  9.9999992496454648E-001                  3.9783641539528865E+000                 -2.9961469451219884E+001                 -1.1439139835231284E+001                  3.9783641539528865E+000                  1.5445153170084616E+000                  3.9767618815068664E+000                 -2.9961469451219884E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0163581452307757E+033                  7.7029425787110312E+033                  9.8506441711371219E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0823114182411542E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4117740313376750E+000                  3.9771821254874804E+000                  6.8830183652101606E-001                  4.1404669264187177E+000                  1.6691592068618571E-010                  3.7382415421551565E+002                  7.5114324316020431E+000                  8.7671335872491940E-001                  1.6546111922098824E+001                  8.7671335872491940E-001                  7.5114324316020431E+000                  6.2695961778967213E-001                  8.4278766870222055E-001                  1.3152469717135185E+000                  6.8557527602922408E-001                  2.9407559073357947E-001                  7.1238948927957667E-005                  7.6582106189916881E-003                  3.4416106108119955E-003                  9.3604466091399743E-003                  8.3408580238779386E+000                  3.4167505218509362E+000                                        0                                        0                                        4 
